user_id,video_owner_id,total_view_time,vk_platform,nav_screen,video_id
2185920225510,254211670128,0,vk_video_ios,video_for_you,1524771204408
2211876692634,282511663036,588,vk_video_android,video_search,1524754621404
2236826609514,73084398828,1,vk_video_ios,video_for_you,1524751499976
2238291458368,67370331264,9,vk_video_android,video_search,1524764831214
2247302121050,193081665976,4,vk_video_android,video_for_you,1524753832692
2250336328912,61136824076,1,vk_video_ios,video_for_you,1524784371888
2261204079806,17047254680,1,vk_video_ios,video_for_you,1524756335850
2263212361382,119423632232,0,vk_video_ios,video_search,1524756372612
2268670180798,51854910160,0,vk_video_android,video_search,1524793248240
2275349694800,269668717396,1,vk_video_android,video_for_you,1524756185460
2281263102188,180460974920,0,vk_video_android,video_for_you,1524750841602
2282359806244,46143698464,0,vk_video_android,video_group_all,1524752429052
2297290401924,271509356760,5,vk_video_ios,video_for_you,1524756533028
2379742387820,281691725724,7,vk_video_ios,video_for_you,1524757465446
2392055611526,289256591704,1,vk_video_android,video_for_you,1524752161692
2415162997324,28393873776,0,vk_video_android,video_search,1524752098194
2415162997324,-103468334636,0,vk_video_android,video_search,543062764938
2421540726962,161533531672,1,vk_video_android,video_for_you,1524777584286
2427236781340,270563767876,0,vk_video_android,video_search,1524777908460
2427236781340,135377138456,16,vk_video_android,video_search,1524756456162
2449629964222,-42727174720,0,vk_video_android,video_for_you,1524753862770
2450595152138,278008965440,0,vk_video_ios,video_for_you,1524752833434
2459140689418,145819277544,0,vk_video_android,video_for_you,1524763674882
2460643989174,1794020,0,vk_video_ios,video_search,1524750798156
2519691021456,290351947496,1,vk_video_android,video_for_you,1524752783304
2544668847868,287498681156,16,vk_video_ios,video_search,1524751536738
2611863054038,289256591704,0,vk_video_android,video_for_you,1524752041380
2624576548622,51217058596,0,vk_video_android,video_for_you,1524775960074
2666452994296,197402665756,2,vk_video_ios,video_for_you,1524792723546
2703464447124,129385781600,0,vk_video_android,video_group_all,573725457864
2706638604222,69670136476,0,vk_video_ios,video_search,1524772835304
2730304883418,287267708032,1,vk_video_android,video_search,1524752586126
2732026339336,35154769884,0,vk_video_android,video_for_you,1524762926274
2765755811910,-789089765676,0,vk_video_android,video_search,1524753017244
2805773061098,68466785976,0,vk_video_ios,video_search,1524768594306
2818963929152,1727430744,0,vk_video_android,video_for_you,1524780201072
2878951452426,45246481920,0,vk_video_android,video_search,1524820305072
2895000437266,178594454004,0,vk_video_android,video_search,1524754507776
2930531279382,292278366172,0,vk_video_android,video_search,1524753742458
3017307937616,296378516132,13,vk_video_android,video_search,1524751820808
3027219837236,283074246524,0,vk_video_android,video_search,1524753221106
3044814387706,-969262043720,0,vk_video_android,video_for_you,1524750841602
3047334176712,186473363516,0,vk_video_android,video_search,1524750801498
3121453159426,292769954132,0,vk_video_android,video_search,1524755136072
3195180103570,50372104304,0,vk_video_ios,video_for_you,1524757709412
3216612716660,279717077700,0,vk_video_ios,video_for_you,1524762635520
3270631716240,290441594212,0,vk_video_android,video_for_you,1524753301314
3280589797100,285736568232,0,vk_video_android,video_search,1524750814866
3281180916972,108035504412,4,vk_video_android,video_for_you,1524780548640
3293262029750,292278366172,1,vk_video_android,video_for_you,1524751864254
3359725969964,263537953932,0,vk_video_android,video_search,1524757622520
3409891245460,281458593156,4,vk_video_android,video_for_you,1524752158350
3418029785464,263063546196,0,vk_video_ios,video_for_you,1524752021328
3434339493522,-1116370848276,2,vk_video_android,video_search,1524751824150
3460044473676,-979348333976,5,vk_video_android,video_search,1524750895074
